,source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,at_who,words,tweet_len,tweet_no_words,capital_words,has_endors,keyWordTweets
269,Twitter for iPhone,So nice to see this great honor Thank you but havent played golf in a long time ,2020-05-03 14:36:19,12393.0,60298,false,1.2569557544284488e+18,[],"['So', 'nice', 'to', 'see', 'this', 'great', 'honor', 'Thank', 'you', 'but', 'havent', 'played', 'golf', 'in', 'a', 'long', 'time']",80,17,,0,So nice to see this great honor Thank you but havent played golf in a long time 
1942,Twitter for iPhone,The Fake News said I played golf today and I did NOT I had meeting in various locations while closely monitoring the US Embassy situation in Iraq which I am still doing The Corrupt Lamestream Media knew this but not surprisingly failed to report or correct ,2019-12-31 22:11:14,45610.0,183837,false,1.2121341430453207e+18,[],"['The', 'Fake', 'News', 'said', 'I', 'played', 'golf', 'today', 'and', 'I', 'did', 'NOT', 'I', 'had', 'meeting', 'in', 'various', 'locations', 'while', 'closely', 'monitoring', 'the', 'US', 'Embassy', 'situation', 'in', 'Iraq', 'which', 'I', 'am', 'still', 'doing', 'The', 'Corrupt', 'Lamestream', 'Media', 'knew', 'this', 'but', 'not', 'surprisingly', 'failed', 'to', 'report', 'or', 'correct']",257,46,I,0,The Fake News said I played golf today and I did NOT I had meeting in various locations while closely monitoring the US Embassy situation in Iraq which I am still doing The Corrupt Lamestream Media knew this but not surprisingly failed to report or correct 
3859,Twitter for iPhone,The Biden family was PAID OFF pure and simple The fake news must stop making excuses for something that is totally inexcusable Sleepy Joe said he never spoke to the Ukrainian company and then the picture came out where he was playing golf with the company boss and Hunter ,2019-10-06 16:42:26,29066.0,104929,false,1.180886039801602e+18,[],"['The', 'Biden', 'family', 'was', 'PAID', 'OFF', 'pure', 'and', 'simple', 'The', 'fake', 'news', 'must', 'stop', 'making', 'excuses', 'for', 'something', 'that', 'is', 'totally', 'inexcusable', 'Sleepy', 'Joe', 'said', 'he', 'never', 'spoke', 'to', 'the', 'Ukrainian', 'company', 'and', 'then', 'the', 'picture', 'came', 'out', 'where', 'he', 'was', 'playing', 'golf', 'with', 'the', 'company', 'boss', 'and', 'Hunter']",272,49,PAID,0,The Biden family was PAID OFF pure and simple The fake news must stop making excuses for something that is totally inexcusable Sleepy Joe said he never spoke to the Ukrainian company and then the picture came out where he was playing golf with the company boss and Hunter 
4773,Twitter for iPhone,The incompetent Mayor of London Sadiq Khan was bothered that I played a very fast round of golf yesterday Many Pols exercise for hours or travel for weeks Me I run through one of my courses very inexpensive President Obama would fly to Hawaii Kahn should focus on ,2019-09-03 14:48:16,22462.0,106589,false,1.168898508608422e+18,[],"['The', 'incompetent', 'Mayor', 'of', 'London', 'Sadiq', 'Khan', 'was', 'bothered', 'that', 'I', 'played', 'a', 'very', 'fast', 'round', 'of', 'golf', 'yesterday', 'Many', 'Pols', 'exercise', 'for', 'hours', 'or', 'travel', 'for', 'weeks', 'Me', 'I', 'run', 'through', 'one', 'of', 'my', 'courses', 'very', 'inexpensive', 'President', 'Obama', 'would', 'fly', 'to', 'Hawaii', 'Kahn', 'should', 'focus', 'on']",264,48,I,0,The incompetent Mayor of London Sadiq Khan was bothered that I played a very fast round of golf yesterday Many Pols exercise for hours or travel for weeks Me I run through one of my courses very inexpensive President Obama would fly to Hawaii Kahn should focus on 
4776,Twitter for iPhone,The incompetent Mayor of London Sadique Kahn was bothered that I played a very fast round of golf yesterday Many Pols exercise for hours or travel for weeks Me I run through one of my courses very inexpensive President Obama would fly to Hawaii Kahn should focus on ,2019-09-03 14:20:10,3420.0,14524,false,1.1688914370328576e+18,[],"['The', 'incompetent', 'Mayor', 'of', 'London', 'Sadique', 'Kahn', 'was', 'bothered', 'that', 'I', 'played', 'a', 'very', 'fast', 'round', 'of', 'golf', 'yesterday', 'Many', 'Pols', 'exercise', 'for', 'hours', 'or', 'travel', 'for', 'weeks', 'Me', 'I', 'run', 'through', 'one', 'of', 'my', 'courses', 'very', 'inexpensive', 'President', 'Obama', 'would', 'fly', 'to', 'Hawaii', 'Kahn', 'should', 'focus', 'on']",266,48,I,0,The incompetent Mayor of London Sadique Kahn was bothered that I played a very fast round of golf yesterday Many Pols exercise for hours or travel for weeks Me I run through one of my courses very inexpensive President Obama would fly to Hawaii Kahn should focus on 
5825,Twitter for iPhone,Thomas the Chin Friedman a weak and pathetic sort of guy writes columns for The New York Times in between rounds of his favorite game golf Two weeks ago while speaking to a friend on his cell phone I unfortunately ended up speaking to Friedman We spoke for a while and ,2019-07-19 12:34:51,14238.0,74969,false,1.1521950943988736e+18,[],"['Thomas', 'the', 'Chin', 'Friedman', 'a', 'weak', 'and', 'pathetic', 'sort', 'of', 'guy', 'writes', 'columns', 'for', 'The', 'New', 'York', 'Times', 'in', 'between', 'rounds', 'of', 'his', 'favorite', 'game', 'golf', 'Two', 'weeks', 'ago', 'while', 'speaking', 'to', 'a', 'friend', 'on', 'his', 'cell', 'phone', 'I', 'unfortunately', 'ended', 'up', 'speaking', 'to', 'Friedman', 'We', 'spoke', 'for', 'a', 'while', 'and']",269,51,I,0,Thomas the Chin Friedman a weak and pathetic sort of guy writes columns for The New York Times in between rounds of his favorite game golf Two weeks ago while speaking to a friend on his cell phone I unfortunately ended up speaking to Friedman We spoke for a while and 
5955,Twitter for iPhone,RT Three of the most spectacular golf courses in the world into next week during to catch ,2019-07-13 11:37:23,3122.0,0,false,1.1500063037938442e+18,"['@Trump:', '@TrumpGolfTune', '@GolfChannel', '@TheOpen']","['RT', 'Three', 'of', 'the', 'most', 'spectacular', 'golf', 'courses', 'in', 'the', 'world', 'into', 'next', 'week', 'during', 'to', 'catch']",90,17,RT,0,RT Three of the most spectacular golf courses in the world into next week during to catch 
6415,Twitter for iPhone,Congratulations to Gary Woodland in winning the United States Open Golf Championship Fantastic playing great heart there will be more in Garys future ,2019-06-17 01:48:26,9878.0,69621,false,1.1404360064722452e+18,[],"['Congratulations', 'to', 'Gary', 'Woodland', 'in', 'winning', 'the', 'United', 'States', 'Open', 'Golf', 'Championship', 'Fantastic', 'playing', 'great', 'heart', 'there', 'will', 'be', 'more', 'in', 'Garys', 'future']",150,23,,0,Congratulations to Gary Woodland in winning the United States Open Golf Championship Fantastic playing great heart there will be more in Garys future 
6802,Twitter for iPhone,Great morning of golf with Prime Minister at Mobara Country Club in Chiba Japan ,2019-05-26 04:07:56,21297.0,102844,false,1.1324985786292224e+18,['@AbeShinzo'],"['Great', 'morning', 'of', 'golf', 'with', 'Prime', 'Minister', 'at', 'Mobara', 'Country', 'Club', 'in', 'Chiba', 'Japan']",80,14,,0,Great morning of golf with Prime Minister at Mobara Country Club in Chiba Japan 
6805,Twitter for iPhone,Going to play golf right now with Japan loves the game Tremendous fans of and I said what about they said we love Gary too ,2019-05-26 00:33:54,12427.0,65930,false,1.1324447140476641e+18,"['@AbeShinzo.', '@JackNicklaus', '@TigerWoods', '@PhilMickelson', '@GaryPlayer']","['Going', 'to', 'play', 'golf', 'right', 'now', 'with', 'Japan', 'loves', 'the', 'game', 'Tremendous', 'fans', 'of', 'and', 'I', 'said', 'what', 'about', 'they', 'said', 'we', 'love', 'Gary', 'too']",123,25,I,0,Going to play golf right now with Japan loves the game Tremendous fans of and I said what about they said we love Gary too 
7448,Twitter for iPhone,Great day with Prime Minister of Japan We played a quick round of golf by the beautiful Potomac River while talking Trade and many other subjects He has now left for Japan and I am on my way to Wisconsin where a very large crowd of friends await ,2019-04-27 22:14:25,13758.0,67501,false,1.1222627505314775e+18,['@AbeShinzo'],"['Great', 'day', 'with', 'Prime', 'Minister', 'of', 'Japan', 'We', 'played', 'a', 'quick', 'round', 'of', 'golf', 'by', 'the', 'beautiful', 'Potomac', 'River', 'while', 'talking', 'Trade', 'and', 'many', 'other', 'subjects', 'He', 'has', 'now', 'left', 'for', 'Japan', 'and', 'I', 'am', 'on', 'my', 'way', 'to', 'Wisconsin', 'where', 'a', 'very', 'large', 'crowd', 'of', 'friends', 'await']",246,48,I,0,Great day with Prime Minister of Japan We played a quick round of golf by the beautiful Potomac River while talking Trade and many other subjects He has now left for Japan and I am on my way to Wisconsin where a very large crowd of friends await 
7509,Twitter for iPhone,Great golf champion amp friend Ernie Els TheBig Easy has done a tremendous job in assisting those w Autism through his Els for Autism Fdn focusing on Education Research Global Outreach Recreation Services Therapy Services amp Adult Services NationalAutismAwarenessMonth,2019-04-23 17:34:42,14645.0,69616,false,1.1207428078478008e+18,[],"['Great', 'golf', 'champion', 'amp', 'friend', 'Ernie', 'Els', 'TheBig', 'Easy', 'has', 'done', 'a', 'tremendous', 'job', 'in', 'assisting', 'those', 'w', 'Autism', 'through', 'his', 'Els', 'for', 'Autism', 'Fdn', 'focusing', 'on', 'Education', 'Research', 'Global', 'Outreach', 'Recreation', 'Services', 'Therapy', 'Services', 'amp', 'Adult', 'Services', 'NationalAutismAwarenessMonth']",269,39,,0,Great golf champion amp friend Ernie Els TheBig Easy has done a tremendous job in assisting those w Autism through his Els for Autism Fdn focusing on Education Research Global Outreach Recreation Services Therapy Services amp Adult Services NationalAutismAwarenessMonth
7653,Twitter for iPhone,Spoke to to congratulate him on the great victory he had in yesterdays amp to inform him that because of his incredible Success amp Comeback in Sports Golf and more importantly LIFE I will be presenting him with the PRESIDENTIAL MEDAL OF FREEDOM ,2019-04-15 17:35:41,33868.0,172018,false,1.1178439544377672e+18,"['@TigerWoods', '@TheMasters']","['Spoke', 'to', 'to', 'congratulate', 'him', 'on', 'the', 'great', 'victory', 'he', 'had', 'in', 'yesterdays', 'amp', 'to', 'inform', 'him', 'that', 'because', 'of', 'his', 'incredible', 'Success', 'amp', 'Comeback', 'in', 'Sports', 'Golf', 'and', 'more', 'importantly', 'LIFE', 'I', 'will', 'be', 'presenting', 'him', 'with', 'the', 'PRESIDENTIAL', 'MEDAL', 'OF', 'FREEDOM']",246,43,LIFE,0,Spoke to to congratulate him on the great victory he had in yesterdays amp to inform him that because of his incredible Success amp Comeback in Sports Golf and more importantly LIFE I will be presenting him with the PRESIDENTIAL MEDAL OF FREEDOM 
7683,Twitter for iPhone,Great playing by at the Tomorrow will be a big and exciting day for golf and for sports Many fantastic players in the hunt Ratings Gold Good luck to all ,2019-04-13 22:37:52,11897.0,74071,false,1.1171952218912031e+18,"['@TigerWoods', '@TheMasters.']","['Great', 'playing', 'by', 'at', 'the', 'Tomorrow', 'will', 'be', 'a', 'big', 'and', 'exciting', 'day', 'for', 'golf', 'and', 'for', 'sports', 'Many', 'fantastic', 'players', 'in', 'the', 'hunt', 'Ratings', 'Gold', 'Good', 'luck', 'to', 'all']",153,30,,0,Great playing by at the Tomorrow will be a big and exciting day for golf and for sports Many fantastic players in the hunt Ratings Gold Good luck to all 
8236,Twitter for iPhone,Very proud of perhaps the greatest golf course anywhere in the world Also furthers UK relationship ,2019-03-02 13:31:45,10996.0,60531,false,1.1018374992304988e+18,[],"['Very', 'proud', 'of', 'perhaps', 'the', 'greatest', 'golf', 'course', 'anywhere', 'in', 'the', 'world', 'Also', 'furthers', 'UK', 'relationship']",99,16,UK,0,Very proud of perhaps the greatest golf course anywhere in the world Also furthers UK relationship 
8488,Twitter for iPhone,Great morning at Trump National Golf Club in Jupiter Florida with and,2019-02-02 18:10:12,23415.0,137310,false,1.0917607127567442e+18,"['@JackNicklaus', '@TigerWoods!']","['Great', 'morning', 'at', 'Trump', 'National', 'Golf', 'Club', 'in', 'Jupiter', 'Florida', 'with', 'and']",69,12,,0,Great morning at Trump National Golf Club in Jupiter Florida with and
10099,Twitter for iPhone,The Fake News Media worked hard to get Tiger Woods to say something that he didnt want to say Tiger wouldnt play the game he is very smart More importantly he is playing great golf again ,2018-08-27 13:37:39,30710.0,154072,false,1.0340724540864471e+18,[],"['The', 'Fake', 'News', 'Media', 'worked', 'hard', 'to', 'get', 'Tiger', 'Woods', 'to', 'say', 'something', 'that', 'he', 'didnt', 'want', 'to', 'say', 'Tiger', 'wouldnt', 'play', 'the', 'game', 'he', 'is', 'very', 'smart', 'More', 'importantly', 'he', 'is', 'playing', 'great', 'golf', 'again']",187,36,,0,The Fake News Media worked hard to get Tiger Woods to say something that he didnt want to say Tiger wouldnt play the game he is very smart More importantly he is playing great golf again 
10271,Twitter for iPad,Brooks Koepka just won his third Golf Major and he did it not only with his powerful game but with his powerful mind He has been a man of steel on the Tour and will have many Victories including Majors ahead of him Congrats to Brooks and his great team on a job well done ,2018-08-13 17:11:21,10375.0,70143,false,1.0290528033800765e+18,[],"['Brooks', 'Koepka', 'just', 'won', 'his', 'third', 'Golf', 'Major', 'and', 'he', 'did', 'it', 'not', 'only', 'with', 'his', 'powerful', 'game', 'but', 'with', 'his', 'powerful', 'mind', 'He', 'has', 'been', 'a', 'man', 'of', 'steel', 'on', 'the', 'Tour', 'and', 'will', 'have', 'many', 'Victories', 'including', 'Majors', 'ahead', 'of', 'him', 'Congrats', 'to', 'Brooks', 'and', 'his', 'great', 'team', 'on', 'a', 'job', 'well', 'done']",272,55,,0,Brooks Koepka just won his third Golf Major and he did it not only with his powerful game but with his powerful mind He has been a man of steel on the Tour and will have many Victories including Majors ahead of him Congrats to Brooks and his great team on a job well done 
10572,Twitter for iPhone,I have arrived in Scotland and will be at Trump Turnberry for two days of meetings calls and hopefully some golf my primary form of exercise The weather is beautiful and this place is incredible Tomorrow I go to Helsinki for a Monday meeting with Vladimir Putin ,2018-07-14 09:43:04,15190.0,85783,false,1.0180683533054116e+18,[],"['I', 'have', 'arrived', 'in', 'Scotland', 'and', 'will', 'be', 'at', 'Trump', 'Turnberry', 'for', 'two', 'days', 'of', 'meetings', 'calls', 'and', 'hopefully', 'some', 'golf', 'my', 'primary', 'form', 'of', 'exercise', 'The', 'weather', 'is', 'beautiful', 'and', 'this', 'place', 'is', 'incredible', 'Tomorrow', 'I', 'go', 'to', 'Helsinki', 'for', 'a', 'Monday', 'meeting', 'with', 'Vladimir', 'Putin']",262,47,I,0,I have arrived in Scotland and will be at Trump Turnberry for two days of meetings calls and hopefully some golf my primary form of exercise The weather is beautiful and this place is incredible Tomorrow I go to Helsinki for a Monday meeting with Vladimir Putin 
11043,Twitter for iPhone,Prime Minister of Japan and myself this morning building an even deeper and better relationship while playing a quick round of golf at Trump International Golf Club ,2018-04-18 21:00:12,15309.0,75781,false,9.86711015630037e+17,['@AbeShinzo'],"['Prime', 'Minister', 'of', 'Japan', 'and', 'myself', 'this', 'morning', 'building', 'an', 'even', 'deeper', 'and', 'better', 'relationship', 'while', 'playing', 'a', 'quick', 'round', 'of', 'golf', 'at', 'Trump', 'International', 'Golf', 'Club']",165,27,,0,Prime Minister of Japan and myself this morning building an even deeper and better relationship while playing a quick round of golf at Trump International Golf Club 
11071,Twitter for iPhone,Comey throws AG Lynch under the bus Why cant we all find out what happened on the tarmac in the back of the plane with Wild Bill and Lynch Was she promised a Supreme Court seat or AG in order to lay off Hillary No golf and grandkids talk give us all a break ,2018-04-15 12:08:03,26569.0,102051,false,9.854899303433216e+17,[],"['Comey', 'throws', 'AG', 'Lynch', 'under', 'the', 'bus', 'Why', 'cant', 'we', 'all', 'find', 'out', 'what', 'happened', 'on', 'the', 'tarmac', 'in', 'the', 'back', 'of', 'the', 'plane', 'with', 'Wild', 'Bill', 'and', 'Lynch', 'Was', 'she', 'promised', 'a', 'Supreme', 'Court', 'seat', 'or', 'AG', 'in', 'order', 'to', 'lay', 'off', 'Hillary', 'No', 'golf', 'and', 'grandkids', 'talk', 'give', 'us', 'all', 'a', 'break']",258,54,AG,0,Comey throws AG Lynch under the bus Why cant we all find out what happened on the tarmac in the back of the plane with Wild Bill and Lynch Was she promised a Supreme Court seat or AG in order to lay off Hillary No golf and grandkids talk give us all a break 
11913,Twitter for iPhone,After Turkey call I will be heading over to Trump National Golf Club Jupiter to play golf quickly with Tiger Woods and Dustin Johnson Then back to MaraLago for talks on bringing even more jobs and companies back to the USA ,2017-11-24 12:10:46,15606.0,92732,false,9.340315357575823e+17,[],"['After', 'Turkey', 'call', 'I', 'will', 'be', 'heading', 'over', 'to', 'Trump', 'National', 'Golf', 'Club', 'Jupiter', 'to', 'play', 'golf', 'quickly', 'with', 'Tiger', 'Woods', 'and', 'Dustin', 'Johnson', 'Then', 'back', 'to', 'MaraLago', 'for', 'talks', 'on', 'bringing', 'even', 'more', 'jobs', 'and', 'companies', 'back', 'to', 'the', 'USA']",223,41,I,0,After Turkey call I will be heading over to Trump National Golf Club Jupiter to play golf quickly with Tiger Woods and Dustin Johnson Then back to MaraLago for talks on bringing even more jobs and companies back to the USA 
12039,Twitter for iPad,Playing golf with Prime Minister Abe and Hideki Matsuyama two wonderful people ,2017-11-05 06:25:16,23603.0,107970,false,9.270592193706435e+17,[],"['Playing', 'golf', 'with', 'Prime', 'Minister', 'Abe', 'and', 'Hideki', 'Matsuyama', 'two', 'wonderful', 'people']",79,12,,0,Playing golf with Prime Minister Abe and Hideki Matsuyama two wonderful people 
13694,Twitter for iPhone,Played golf today with Prime Minister Abe of Japan and Ernie Els and had a great time Japan is very well represented ,2017-02-11 23:15:34,13298.0,84098,false,8.305559115592499e+17,['@TheBig_Easy'],"['Played', 'golf', 'today', 'with', 'Prime', 'Minister', 'Abe', 'of', 'Japan', 'and', 'Ernie', 'Els', 'and', 'had', 'a', 'great', 'time', 'Japan', 'is', 'very', 'well', 'represented']",117,22,,0,Played golf today with Prime Minister Abe of Japan and Ernie Els and had a great time Japan is very well represented 
13695,Twitter for Android,Playef golf today with Prime Minister Abe of Japan and Ernie Els and had a great time Japan is very well represented ,2017-02-11 23:07:52,8.0,1,false,8.305539702255903e+17,['@TheBig_Easy'],"['Playef', 'golf', 'today', 'with', 'Prime', 'Minister', 'Abe', 'of', 'Japan', 'and', 'Ernie', 'Els', 'and', 'had', 'a', 'great', 'time', 'Japan', 'is', 'very', 'well', 'represented']",117,22,,0,Playef golf today with Prime Minister Abe of Japan and Ernie Els and had a great time Japan is very well represented 
